key,data_type,description_ja,description,supplement
@data_info@facility,string,é{ê›ñº,facility,
@data_info@beamline,string,,,
@data_info@id,string,,,
@data_info@related_id,string,,,
@data_info@date@create_time,string,,,
@data_info@date@update_time,string,,,
@data_info@comment,string,,,
@sample@chemical_formula,string,,,
@sample@CAS_number,string,,,
@sample@manufacturer,string,,,
@sample@Product_number,string,,,
@sample@sample_lot_number,string,,,
@sample@additional_data,string,,,
@measurement@absorption_edge,string,,,
@measurement@energy_calibration,array,,,
@measurement@energy_calibration.standard_sample,string,,,
@measurement@energy_calibration.calibration_position,string,,,
@measurement@energy_calibration.energy,double,,,
@measurement@energy_calibration.energy_unit,string,,,
@measurement@incident_angle,double,,,
@measurement@incident_angle_unit,string,,,
@measurement@tune_angle,double,,,
@measurement@tune_angle_unit,string,,,
@measurement@tune_energy,double,,,
@measurement@tune_energy_unit,string,,,
@measurement@data_points,int,,,
@measurement@section@section_number,int,,,
@measurement@section@section_blocks,array,,,
@measurement@section@section_blocks.start_energy,double,,,
@measurement@section@section_blocks.start_energy_unit,string,,,
@measurement@section@section_blocks.end_energy,double,,,
@measurement@section@section_blocks.end_energy_unit,string,,,
@measurement@section@section_blocks.sampling_number,int,,,
@measurement@section@section_blocks.delta_energy,double,,,
@measurement@section@section_blocks.delta_energy_unit,string,,,
@measurement@section@section_blocks.waiting_time,double,,,
@measurement@section@section_blocks.waiting_time_unit,string,,,
@measurement@section@section_blocks.dwelling_time,double,,,
@measurement@section@section_blocks.dwelling_time_unit,string,,,
@measurement@start_ring_current,double,,,
@measurement@end_ring_current,double,,,
@measurement@ring_current_unit,string,,,
@measurement@start_time,date,,,
@measurement@end_time,date,,,
@instrument@I0@detector,array,,,
@instrument@I0@detector.type,string,,,
@instrument@I0@detector.manufacturer,string,,,
@instrument@I0@detector.model_number,string,,,
@instrument@I0@detector.coating_element,string,,,
@instrument@I0@detector.aperture_ratio,double,,,
@instrument@I0@detector.aperture_ratio_unit,string,,,
@instrument@I0@detector.applied_voltage,double,,,
@instrument@I0@detector.applied_voltage_unit,string,,,
@instrument@I0@Ammeter,array,,,
@instrument@I0@Ammeter.range,double,,,
@instrument@I0@Ammeter.range_unit,string,,,
@instrument@I0@Ammeter.manufacturer,string,,,
@instrument@I0@Ammeter.model_number,int,,,
@instrument@I0@additional_data,string,,,
@instrument@TEY@Ammeter,array,,,
@instrument@TEY@Ammeter.range,double,,,
@instrument@TEY@Ammeter.range_unit,string,,,
@instrument@TEY@Ammeter.manufacturer,string,,,
@instrument@TEY@Ammeter.model_number,int,,,
@instrument@TEY@additional_data,string,,,
@instrument@PFY@detector,array,,,
@instrument@PFY@detector.type,string,,,
@instrument@PFY@detector.manufacturer,string,,,
@instrument@PFY@detector.model_number,string,,,
@instrument@PFY@detector.amp_gain,double,,,
@instrument@PFY@detector.amp_gain_unit,string,,,
@instrument@PFY@detector.peaking_time,double,,,
@instrument@PFY@detector.peaking_time_unit,string,,,
@instrument@PFY@detector.deadtime,double,,,
@instrument@PFY@detector.deadtime_unit,string,,,
@instrument@PFY@detector.deadtime_setting_energy,double,,,
@instrument@PFY@detector.deadtime_setting_energy_unit,string,,,
@instrument@PFY@detector.element_number,int,,,
@instrument@PFY@detector.ROI,array,,,
@instrument@PFY@detector.ROI.ROI_energy_lower,double,,,
@instrument@PFY@detector.ROI.ROI_energy_upper,double,,,
@instrument@PFY@detector.ROI.ROI_energy_unit,string,,,
@instrument@PFY@additional_data,string,,,
@instrument@PEY@detector,array,,,
@instrument@PEY@detector.type,string,,,
@instrument@PEY@detector.manufacturer,string,,,
@instrument@PEY@detector.model_number,int,,,
@instrument@PEY@detector.applied_voltage_front,double,,,
@instrument@PEY@detector.applied_voltage_front_unit,string,,,
@instrument@PEY@detector.applied_voltage_end,string,,,
@instrument@PEY@detector.applied_voltage_end_unit,string,,,
@instrument@PEY@detector.battery_box_voltage,double,,,
@instrument@PEY@detector.battery_box_voltage_unit,string,,,
@instrument@PEY@detector.retarding_voltage,double,,,
@instrument@PEY@detector.retarding_voltage_unit,string,,,
@instrument@PEY@detector.deflection_voltage,double,,,
@instrument@PEY@detector.deflection_voltage_unit,string,,,
@instrument@PEY@Ammeter,array,,,
@instrument@PEY@Ammeter.range,double,,,
@instrument@PEY@Ammeter.range_unit,string,,,
@instrument@PEY@Ammeter.manufacturer,string,,,
@instrument@PEY@Ammeter.model_number,int,,,
@instrument@PEY@additional_data,string,,,
@instrument@monochromator@type,string,,,
@instrument@monochromator@detail,array,,,
@instrument@monochromator@detail.crystal_plane,string,,,
@instrument@monochromator@detail.d,double,,,
@instrument@monochromator@detail.d_unit,string,,,
@instrument@monochromator@detail.material,string,,,
@instrument@monochromator@detail.groove_density,double,,,
@instrument@monochromator@detail.groove_density_unit,string,,,
@instrument@monochromator@detail.groove_depth,double,,,
@instrument@monochromator@detail.groove_depth_unit,string,,,
@instrument@monochromator@detail.deflection_angle,double,,,
@instrument@monochromator@detail.deflection_angle_unit,string,,,
@instrument@slit,array,,,
@instrument@slit.name,string,,,
@instrument@slit.vertical_size,double,,,
@instrument@slit.vertical_size_unit,string,,,
@instrument@slit.horizontal_size,double,,,
@instrument@slit.horizontal_size_unit,string,,,
@instrument@filter,string,,,
@instrument@measurement_chamber_environment,string,,,
@file@file_name,string,,,
@file@raw_data_format,array,,,
@file@raw_data_format.extension,string,,,
@file@raw_data_format.format,string,,,
@file@raw_data_format.columns,array,,,
@file@raw_data_format.columns.name,string,,,
@file@raw_data_format.columns.unit,string,,,
@file@processed_data_format,array,,,
@file@processed_data_format.extension,string,,,
@file@processed_data_format.format,string,,,
@file@processed_data_format.columns,array,,,
@file@processed_data_format.columns.name,string,,,
@file@processed_data_format.columns.unit,string,,,
@file@processed_data_format.columns.formula,string,,,
@file@processed_data_format.columns.normalizing_process,array,,,
@file@processed_data_format.columns.normalizing_process.BG_subtraction,string,,,
@file@processed_data_format.columns.normalizing_process.Normalization,string,,,
@file@processed_data_format.columns.input@columns,string,,,
