key,data_type,description_ja,description,supplement
@data_info@identifier@pid,string,PID番号,Persistent ID,
@data_info@date@create_time,date,生成時間,create time,
@data_info@date@update_time,date,更新時間,update time,
@data_info@identifier@register_name,string,登録名(ファイルパス),register name,
@data_info@facility,string,施設名,facility,
@data_info@class_name,string,分類名,class name,
@data_info@disk_name,string,ディスク名,disk name,
@data_info@title_ja,string,実験課題名(日本語),proposal title (japanese),
@data_info@title,string,実験課題名(英語),proposal title (english),
@data_info@identifier@proposal_number,string,課題番号,proposal number,
@data_info@access_rights,string,アクセス権限,access rights,
@data_info@license@name,string,ライセンス,license,
@data_info@data_depositor@name,string,データ登録者の名前,name of data depositor,
@data_info@data_depositor@affiliation@organization,string,データ登録者の組織,organization of data depositor,
@data_info@contact_name@name,string,データ責任者(組織名でもよい),contact name (person or organization),
@data_info@contact_name@affiliation@organization,string,データ責任者の所属,organization of data depositor,
@data_info@contact_name@role,string,データ責任者の役割,role of contact name,
@facility@ring@energy,double,ビームエネルギー,beam energy,
@facility@ring@energy_unit,string,ビームエネルギー単位,beam energy unit,
@facility@ring@start_current,double,蓄積電流(開始時),beam current (start),
@facility@ring@start_current_unit,string,蓄積電流単位(開始時),beam current unit (start),
@facility@ring@end_current,double,蓄積電流(終了時),beam current (end),
@facility@ring@end_current_unit,string,蓄積電流単位(終了時),beam current unit (end),
@facility@ring@filling_pattern,string,フィリングパターン,filling pattern,
@facility@ring@filling_pattern_mode,string,フィリングパターンモード,filling pattern mode,
@sample,array,サンプル配列,sample array,
@sample.chemical_formula,string,試料化学式,chemical formula,
@sample.lot_number,string,サンプルロット番号,sample lot number,
@sample.model_number,string,サンプルモデル番号,sample model number,
@sample.name,string,サンプル名,sample name,
@sample.supplier,string,サンプル業者,sample supplier,
@measurement@method@category,string,計測法カテゴリ,method category,
@measurement@method@sub_category,string,計測法サブカテゴリ,method sub category,
@measurement@method@absorption_edge,string,吸収端,absorption edge,
@measurement@method@detection,string,検出方法,detection method,
@measurement@date@start_time,date,計測開始時刻,start datetime of measurement,
@measurement@date@end_time,date,計測終了時刻,end datetime of masurement,
@measurement@scan_mode,string,スキャンモード,scan mode,
@instrument@slit,array,スリットのリスト,list for slit,
@instrument@slit.name,string,スリット名,slit name,
@instrument@slit.vertical_size,double,スリット垂直方向サイズ,slit vertical size,
@instrument@slit.vertical_size_unit,string,スリット垂直方向サイズの単位,slit vertical size unit,
@instrument@slit.horizontal_size,double,スリット平行方向サイズ,slit horizontal size,
@instrument@slit.horizontal_size_unit,string,スリット平行方向サイズの単位,slit horizontal size unit,
@instrument@xafs@I0@element_number,integer,[XAFS] I0検出器素子数,[XAFS] element number for I0,
@instrument@xafs@I0@element,array,[XAFS] I0検出器素子配列,[XAFS] element array for I0,
@instrument@xafs@I0@element.type,string,[XAFS] I0検出器素子: 種類,[XAFS] detector type for I0 element,
@instrument@xafs@I0@element.gas,string,[XAFS] I0検出器素子: ガス,[XAFS] gas for I0 element,
@instrument@xafs@I0@element.HV,double,[XAFS] I0検出器素子：高電圧,[XAFS] HV for I0 element,
@instrument@xafs@I0@element.HV_unit,string,[XAFS] I0検出器素子：高電圧単位,[XAFS] HV unit for I0 element,
@instrument@xafs@I0@element.amp_gain,double,[XAFS] I0検出器素子：ゲイン,[XAFS] gain for I0 element,
@instrument@xafs@I0@element.amp_gain_unit,string,[XAFS] I0検出器素子：ゲイン単位,[XAFS] gain unit for I0 element,
@instrument@xafs@I1@element_number,integer,[XAFS] I1検出器素子数,[XAFS] element number for I1,
@instrument@xafs@I1@element,array,[XAFS] I1検出器素子配列,[XAFS] element array for I1,
@instrument@xafs@I1@element.type,string,[XAFS] I1検出器素子: 種類,[XAFS] detector type for I1 element,
@instrument@xafs@I1@element.gas,string,[XAFS] I1検出器素子: ガス,[XAFS] gas for I1 element,
@instrument@xafs@I1@element.HV,double,[XAFS] I1検出器素子：高電圧,[XAFS] HV for I1 element,
@instrument@xafs@I1@element.HV_unit,string,[XAFS] I1検出器素子：高電圧単位,[XAFS] HV unit for I1 element,
@instrument@xafs@I1@element.amp_gain,double,[XAFS] I1検出器素子：ゲイン,[XAFS] gain for I1 element,
@instrument@xafs@I1@element.amp_gain_unit,string,[XAFS] I1検出器素子：ゲイン単位,[XAFS] gain unit for I1 element,
@instrument@monochrometer@net_plane,string,分光器結晶面,monochrometer net plane,
@instrument@monochrometer@distance,double,分光結晶面間隔,monochrometer distance,
@instrument@monochrometer@distance_unit,string,分光結晶面間隔単位,monochrometer distance unit,
@instrument@monochrometer@section,array,測定セクションのリスト,measurement section list,
@instrument@monochrometer@section.start_energy,double,測定開始エネルギー(角),measurement start energy(angle),
@instrument@monochrometer@section.start_energy_unit,string,測定開始エネルギー(角)単位,measurement start energy(angle) unit,
@instrument@monochrometer@section.step_energy,double,測定ステップエネルギー(角),measurement step energy(angle),
@instrument@monochrometer@section.step_energy_unit,string,測定ステップエネルギー(角)単位,measurement step energy(angle)  unit,
@instrument@monochrometer@section.end_energy,double,測定終了エネルギー(角),measurement end energy(angle),
@instrument@monochrometer@section.end_energy_unit,string,測定終了エネルギー(角)単位,measurement end energy(angle) unit,
@instrument@monochrometer@section.dwell_time,double,測定滞留時間,measurement dwell time,
@instrument@monochrometer@section.dwell_time_unit,string,測定滞留時間単位,measurement dwell time unit,
